set_num;name;year;theme_id;theme_name;num_parts;img_url;Price
60382-1;Vet Van Rescue;2023;52;City;58;https://cdn.rebrickable.com/media/sets/60382-1.jpg;9.99
60392-1;Police Bike Car Chase;2023;61;Police;59;https://cdn.rebrickable.com/media/sets/60392-1.jpg;9.99
71788-1;Lloyd's Ninja Street Bike;2023;435;Ninjago;64;https://cdn.rebrickable.com/media/sets/71788-1.jpg;9.99
21240-1;The Swamp Adventure;2023;577;Minecraft;65;https://cdn.rebrickable.com/media/sets/21240-1.jpg;9.99
76253-1;Guardians of the Galaxy Headquarters;2023;704;Guardians of the Galaxy;67;https://cdn.rebrickable.com/media/sets/76253-1.jpg;9.99
40626-1;Zombie;2023;610;Brickheadz;81;https://cdn.rebrickable.com/media/sets/40626-1.jpg;9.99
75344-1;Boba Fett's Starship Microfighter;2023;158;Star Wars;85;https://cdn.rebrickable.com/media/sets/75344-1.jpg;9.99
40624-1;Alex;2023;610;Brickheadz;86;https://cdn.rebrickable.com/media/sets/40624-1.jpg;9.99
43214-1;Twirling Rapunzel;2023;579;Disney Princess;89;https://cdn.rebrickable.com/media/sets/43214-1.jpg;9.99
71780-1;Kai's Ninja Race Car EVO;2023;435;Ninjago;94;https://cdn.rebrickable.com/media/sets/71780-1.jpg;9.99
60383-1;Electric Sports Car;2023;63;Traffic;95;https://cdn.rebrickable.com/media/sets/60383-1.jpg;9.99
40625-1;Llama;2023;610;Brickheadz;100;https://cdn.rebrickable.com/media/sets/40625-1.jpg;9.99
41733-1;Mobile Bubble Tea Shop;2023;494;Friends;109;https://cdn.rebrickable.com/media/sets/41733-1.jpg;9.99
41738-1;Dog Rescue Bike;2023;494;Friends;125;https://cdn.rebrickable.com/media/sets/41738-1.jpg;9.99
40628-1;"Miles ""Tails"" Prower";2023;610;Brickheadz;131;https://cdn.rebrickable.com/media/sets/40628-1.jpg;9.99
40627-1;Sonic the Hedgehog;2023;610;Brickheadz;139;https://cdn.rebrickable.com/media/sets/40627-1.jpg;9.99
31134-1;Space Shuttle;2023;672;Creator 3-in-1;144;https://cdn.rebrickable.com/media/sets/31134-1.jpg;9.99
71784-1;Jay's Lightning Jet EVO;2023;435;Ninjago;146;https://cdn.rebrickable.com/media/sets/71784-1.jpg;9.99
40615-1;Tusken Raider;2023;610;Brickheadz;152;https://cdn.rebrickable.com/media/sets/40615-1.jpg;9.99
60365-1;Apartment Building;2023;52;City;688;https://cdn.rebrickable.com/media/sets/60365-1.jpg;94.99
41744-1;Sports Centre;2023;494;Friends;832;https://cdn.rebrickable.com/media/sets/41744-1.jpg;94.99
71795-1;Temple of the Dragon Energy Cores;2023;435;Ninjago;1026;https://cdn.rebrickable.com/media/sets/71795-1.jpg;94.99
10998-1;3in1 Magical Castle;2023;641;Mickey & Friends;160;https://cdn.rebrickable.com/media/sets/10998-1.jpg;99.99
60361-1;Ultimate Stunt Riders Challenge;2023;744;Stuntz;385;https://cdn.rebrickable.com/media/sets/60361-1.jpg;99.99
43224-1;King Magnifico's Castle;2023;608;Disney;613;https://cdn.rebrickable.com/media/sets/43224-1.jpg;99.99
21339-1;BTS Dynamite;2023;576;LEGO Ideas and CUUSOO;749;https://cdn.rebrickable.com/media/sets/21339-1.jpg;99.99
75579-1;Payakan the Tulkun & Crabsuit;2023;724;Avatar;761;https://cdn.rebrickable.com/media/sets/75579-1.jpg;99.99
76266-1;Endgame Final Battle;2023;702;Avengers;794;https://cdn.rebrickable.com/media/sets/76266-1.jpg;99.99
