inventory_id;version;set_num;name;year;theme_id;theme_name;num_parts;img_url;price
127474;1;76948-1;T. rex & Atrociraptor Dinosaur Breakout;2022;602;Jurassic World;466;https://cdn.rebrickable.com/media/sets/76948-1.jpg;99.99
127475;1;76947-1;Quetzalcoatlus Plane Ambush;2022;602;Jurassic World;306;https://cdn.rebrickable.com/media/sets/76947-1.jpg;44.99
127477;1;76946-1;Blue & Beta Velociraptor Capture;2022;602;Jurassic World;181;https://cdn.rebrickable.com/media/sets/76946-1.jpg;34.99
127479;1;76943-1;Pteranodon Chase;2022;602;Jurassic World;94;https://cdn.rebrickable.com/media/sets/76943-1.jpg;19.99
127906;1;76208-1;The Goat Boat;2022;696;Super Heroes Marvel;564;https://cdn.rebrickable.com/media/sets/76208-1.jpg;59.99
128404;1;40517-1;Vespa;2022;22;Creator;118;https://cdn.rebrickable.com/media/sets/40517-1.jpg;9.99
129993;1;71403-1;Adventures with Peach Starter Course;2022;690;Super Mario;354;https://cdn.rebrickable.com/media/sets/71403-1.jpg;59.99
129994;1;71408-1;Peach's Castle Expansion Set;2022;690;Super Mario;1216;https://cdn.rebrickable.com/media/sets/71408-1.jpg;129.99
129998;1;71407-1;Cat Peach Suit and Frozen Tower Expansion Set;2022;690;Super Mario;494;https://cdn.rebrickable.com/media/sets/71407-1.jpg;79.99
129999;1;71406-1;Yoshi's Gift House Expansion Set;2022;690;Super Mario;246;https://cdn.rebrickable.com/media/sets/71406-1.jpg;29.99
130838;1;10300-1;Back to the Future Time Machine;2022;721;Icons;1872;https://cdn.rebrickable.com/media/sets/10300-1.jpg;199.99
131958;1;76831-1;Zurg Battle;2022;608;Disney;261;https://cdn.rebrickable.com/media/sets/76831-1.jpg;34.99
131959;1;76830-1;Zyclops Chase;2022;608;Disney;87;https://cdn.rebrickable.com/media/sets/76830-1.jpg;19.99
132315;1;75342-1;Republic Fighter Tank;2022;158;Star Wars;262;https://cdn.rebrickable.com/media/sets/75342-1.jpg;39.99
132422;1;10962-1;Buzz Lightyear's Planetary Mission;2022;633;Toy Story;37;https://cdn.rebrickable.com/media/sets/10962-1.jpg;29.99
132945;1;42141-2;McLaren Formula 1 Team 2022 (Second Edition);2022;1;Technic;1432;https://cdn.rebrickable.com/media/sets/42141-2.jpg;199.99
133108;1;76400-1;Hogwarts Carriage and Thestrals;2022;246;Harry Potter;121;https://cdn.rebrickable.com/media/sets/76400-1.jpg;19.99
133110;1;76403-1;The Ministry of Magic;2022;246;Harry Potter;990;https://cdn.rebrickable.com/media/sets/76403-1.jpg;99.99
133112;1;76407-1;The Shrieking Shack & Whomping Willow;2022;246;Harry Potter;773;https://cdn.rebrickable.com/media/sets/76407-1.jpg;89.99
133113;1;76402-1;Hogwarts: Dumbledore's Office;2022;246;Harry Potter;651;https://cdn.rebrickable.com/media/sets/76402-1.jpg;79.99
133114;1;76401-1;Hogwarts Courtyard: Sirius's Rescue;2022;246;Harry Potter;343;https://cdn.rebrickable.com/media/sets/76401-1.jpg;49.99
133115;1;76406-1;Hungarian Horntail Dragon;2022;246;Harry Potter;671;https://cdn.rebrickable.com/media/sets/76406-1.jpg;49.99
133715;1;10309-1;Succulents;2022;721;Icons;771;https://cdn.rebrickable.com/media/sets/10309-1.jpg;49.99
