part_num;Name;Serial;Price;element_id;design_id;color_id
75c09;OUTER CABLE 72MM;6392958/76324;$0.39;6392958;76324;15
2825;TECHNIC LEVER 4M;6392956/65640;$0.20;6392956;65640;4
60483;BEAM 1X2 W/CROSS AND HOLE;6392955/40147;$0.08;6392955;40147;1
22961;BEAM 1M W/CROSS AXLE;6392886/22961;$0.13;6392886;22961;1
18654;BEAM 1X1;6392879/18654;$0.04;6392879;18654;1
80683;DOOR 3X6;6392875/80683;$0.47;6392875;80683;40
32739;SHELL, 4X6X2/3;6392874/32739;$0.51;6392874;32739;0
60479;PLATE 1X12;6392869/60479;$0.23;6392869;60479;27
3460;PLATE 1X8;6392872/3460;$0.17;6392872;3460;27
2445;PLATE 2X12;6392867/2445;$0.36;6392867;2445;27
49618;ROOF TILE 1X8X3, DEG. 25, NO. 1;6392866/49618;$1.08;6392866;49618;27
78666;BRICK 1X2, OUTSIDE HALF ARCH, NO. 1;6392166/78666;$0.15;6392166;78666;191
41682;PLATE 1X2 W/ VERT. TUBE;6392165/41682;$0.15;6392165;41682;191
68547;MINI ACCESSORY, NO. 17;6392457/68547;$0.51;6392457;68547;297
41749;RIGHT SHELL 3X8X2 W/BOW/ANGLE;6392164/41749;$0.60;6392164;41749;272
54669;MAST FOR FORK LIFT;6392452/54669;$1.13;6392452;54669;0
41750;LEFT SHELL 3X8X2 W/BOW/ANGLE;6392163/41750;$0.65;6392163;41750;272
66955;DESIGN BRICK 4X1, W/ BOW;6392009/66955;$0.53;6392009;66955;321
16598;CASTLE WINDOW;6391786/16598;$1.08;6391786;16598;484
23742;BUSH W/ 2X2 HOLE 4X4X1,5;6391782/23742;$2.22;6391782;23742;158
70676;ROOF TILE 2X2X2, DEG. 54;6391781/70676;$1.06;6391781;70676;84
30923;LATTICE 8X14, W/ 3.2 SHAFT, W/ 3.2 HOLE;6391762/30923;$1.57;6391762;30923;27
27507;TILE 4X4, W/ BOW;6391756/27507;$0.15;6391756;27507;31
70681;BRICK 1X3,OUTSIDE HALF ARCH,W/ CUTOUT;6391596/70681;$0.16;6391596;70681;288
35485;MINI ACCESSORY, NO. 5;6391688/35485;$0.15;6391688;35485;0
70681;BRICK 1X3,OUTSIDE HALF ARCH,W/ CUTOUT;6391595/70681;$0.16;6391595;70681;10
4672;DUPLO PLATE 4X8;6391036/10199;$4.28;6391036;10199;226
35470;DESIGN PLATE 3X5, NO. 1;6391347/35470;$0.27;6391347;35470;10
18653;Brick 1x3x2 w. inside bow;6391346/18653;$0.15;6391346;18653;484
60479;PLATE 1X12;6391345/60479;$0.23;6391345;60479;3
99563;GOLD INGOT;6391344/99563;$0.05;6391344;99563;3
42205;FRAME 1X6X6;6391342/42205;$0.52;6391342;42205;0
69762;ANGLED GEAR Z14 F. DIFF. 3M,NO. 1;6391161/69762;$2.41;6391161;69762;14
69761;ANGLED GEAR Z22 F. DIFF. 3M,NO. 1;6391160/69761;$4.56;6391160;69761;14
98218;PLATE 4X4 W. ROUND CORNER;6390998/98218;$1.47;6390998;98218;70
